,Movie,Description,Release Date,Director,Rating,Duration,Genre,Stars
57,Red Heat,A tough Russian policeman is forced to partner up with a cocky Chicago police detective when he is sent to Chicago to apprehend a Georgian drug lord who killed his partner and fled the country.,1988,Walter Hill,6.1,104 min,"Action, Comedy, Crime","Arnold Schwarzenegger, Jim Belushi, Peter Boyle, Ed O'Ro"
58,Timecop,"Max Walker, an officer for a security agency that regulates time travel, must fend for his life against a shady politician who's intent on changing the past to control the future.",1994,Peter Hyams,5.9,99 min,"Action, Crime, Sci-Fi","Jean-Claude Van Damme, Mia Sara, Ron Silver, Bruce McGill"
59,Die City-Cobra,A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far-reaching plans.,1986,George P. Cosmatos,5.8,87 min,"Action, Crime, Thriller","Sylvester Stallone, Brigitte Nielsen, Reni Santoni, Andrew Robinson"
60,Bloodsport - Eine wahre Geschichte,"""Bloodsport"" follows Frank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur.",1988,Newt Arnold,6.8,92 min,"Action, Biography, Drama","Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton"
61,Delta Force,"After a plane is hijacked by terrorists, The Delta Force is sent in to resolve the crisis.",1986,Menahem Golan,5.6,125 min,"Action, Adventure, Drama","Chuck Norris, Lee Marvin, Martin Balsam, Joey Bishop"
62,Hard Boiled,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,1992,John Woo,7.8,128 min,"Action, Crime, Thriller","Chow Yun-Fat, Tony Chiu-Wai Leung, Teresa Mo, Philip Chan"
63,City Wolf,"A reforming ex-gangster tries to reconcile with his estranged policeman brother, but the ties to his former gang are difficult to break.",1986,John Woo,7.5,95 min,"Action, Crime, Drama","Lung Ti, Leslie Cheung, Chow Yun-Fat, Emily Chu"
64,The Killer,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,1989,John Woo,7.8,111 min,"Action, Crime, Drama","Chow Yun-Fat, Danny Lee, Sally Yeh, Kong Chu"
65,Tiger & Dragon,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,2000,Ang Lee,7.8,120 min,"Action, Adventure, Drama","Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang, Chang Chen"
66,Drunken Master,A young martial artist is caught between respecting his pacifist father's wishes or stopping a group of disrespectful foreigners from stealing precious artifacts.,1994,"s:
Chia-Liang Liu, 
Jackie Chan",7.6,102 min,"Action, Comedy","Jackie Chan, Ho-Sung Pak, Lung Ti, Anita Mui"
67,Rumble in the Bronx,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,1995,Stanley Tong,6.8,104 min,"Action, Comedy, Crime","Jackie Chan, Anita Mui, Françoise Yip, Bill Tung"
68,Ong-bak,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.",2003,Prachya Pinkaew,7.2,108 min,"Action, Crime, Thriller","Tony Jaa, Petchtai Wongkamlao, Pumwaree Yodkamol, Suchao Pongwilai"
69,Big Trouble in Little China,A rough-and-tumble trucker and his side kick face off with an ancient sorcerer in a supernatural battle beneath Chinatown.,1986,John Carpenter,7.3,99 min,"Action, Adventure, Comedy","Kurt Russell, Kim Cattrall, Dennis Dun, James Hong"
70,Die Todeskralle schlägt wieder zu,A man visits his relatives at their restaurant in Italy and has to help them defend against brutal gangsters harassing them.,1972,Bruce Lee,7.3,99 min,"Action, Adventure, Comedy","Bruce Lee, Chuck Norris, Nora Miao, Ping-Ou Wei"
71,Road House,A tough bouncer is hired to tame a dirty bar.,1989,Rowdy Herrington,6.6,114 min,"Action, Thriller","Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazz"
72,Der Mann mit der Todeskralle,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,1973,Robert Clouse,7.7,102 min,"Action, Crime, Drama","Bruce Lee, John Saxon, Jim Kelly, Ahna Capri"
73,Todesgrüße aus Shanghai,A young man seeks vengence for the death of his teacher.,1972,Wei Lo,7.3,106 min,"Action, Drama, Romance","Bruce Lee, Nora Miao, James Tien, Maria Yi"
74,John Carpenter's Sie leben,They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.,1988,John Carpenter,7.3,94 min,"Action, Horror, Sci-Fi","Roddy Piper, Keith David, Meg Foster, George 'Buck' Flowe"
75,Die Warriors,"In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down.",1979,Walter Hill,7.6,92 min,"Action, Crime, Thriller","Michael Beck, James Remar, Dorsey Wright, Brian Tyle"
76,Assault - Anschlag bei Nacht,"An unlikely partnership between a Highway Patrol Officer, two criminals and a station secretary is formed to defend a defunct Los Angeles precinct office against a siege by a bloodthirsty street gang.",1976,John Carpenter,7.4,91 min,"Action, Crime, Thriller","Austin Stoker, Darwin Joston, Laurie Zimmer, Martin We"
77,Die Klapperschlange,"In 1997, when the U.S. president crashes into Manhattan, now a giant maximum security prison, a convicted bank robber is sent in to rescue him.",1981,John Carpenter,7.2,99 min,"Action, Adventure, Sci-Fi","Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence"
78,Bullitt,"An all-guts, no-glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection.",1968,Peter Yates,7.4,114 min,"Action, Crime, Thriller","Steve McQueen, Jacqueline Bisset, Robert Vaughn, Don Gordon"
79,James Bond  - Goldfinger,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",1964,Guy Hamilton,7.7,110 min,"Action, Adventure, Thriller","Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton"
80,Desperado,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,1995,Robert Rodriguez,7.2,104 min,"Action, Crime, Thriller","Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin"
81,Beverly Hills Cop - Ich lös' den Fall auf jeden Fall,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,1984,Martin Brest,7.3,105 min,"Action, Comedy, Crime","Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbache"
82,Nur  Stunden,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",1982,Walter Hill,6.9,96 min,"Action, Comedy, Crime","Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae"
83,Highlander - Es kann nur einen geben,"An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled ""Prize"".",1986,Russell Mulcahy,7.1,116 min,"Action, Adventure, Fantasy","Christopher Lambert, Sean Connery, Clancy Brown, Roxanne H"
84,Stirb Langsam ,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",1990,Renny Harlin,7.1,124 min,"Action, Thriller","Bruce Willis, William Atherton, Bonnie Bedelia, Reginald VelJohnson"
85,Atomic Blonde,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,2017,David Leitch,6.7,115 min,"Action, Thriller","Charlize Theron, James McAvoy, John Goodman, Eddie Marsan"
86,Upgrade,"Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.",2018,Leigh Whannell,7.5,100 min,"Action, Sci-Fi, Thriller","Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden"
87,Dredd,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",2012,Pete Travis,7.1,95 min,"Action, Crime, Sci-Fi","Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood"
88,Mission: Impossible - Fallout,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",2018,Christopher McQuarrie,7.7,147 min,"Action, Adventure, Thriller","Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
89,Mission: Impossible - Rogue Nation,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,2015,Christopher McQuarrie,7.4,131 min,"Action, Adventure, Thriller","Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg"
90,Kingsman: The Secret Service,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",2014,Matthew Vaughn,7.7,129 min,"Action, Adventure, Comedy","Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine"
91,,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,2006,Zack Snyder,7.6,117 min,"Action, Drama","Gerard Butler, Lena Headey, David Wenham, Dominic We"
92,Fast & Furious Five,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,2011,Justin Lin,7.3,130 min,"Action, Adventure, Crime","Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewste"
93,Crank,Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.,2006,"s:
Mark Neveldine, 
Brian Taylor",6.9,88 min,"Action, Crime, Thriller","Jason Statham, Amy Smart, Carlos Sanz, Jose Pablo Cantillo"
94,The Transporter,"Frank Martin, who ""transports"" packages for unknown clients, is asked to move a package that soon begins moving, and complications arise.",2002,"s:
Louis Leterrier, 
Corey Yuen",6.8,92 min,"Action, Crime, Thriller","Jason Statham, Shu Qi, Matt Schulze, François Berléand"
95,Bad Boys II,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,2003,Michael Bay,6.6,147 min,"Action, Comedy, Crime","Will Smith, Martin Lawrence, Gabrielle Union, Jordi Mollà"
96,Snowpiercer,"In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.",2013,Bong Joon Ho,7.1,126 min,"Action, Drama, Sci-Fi","Chris Evans, Jamie Bell, Tilda Swinton, Ed Harri"
97,Agenten sterben einsam,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",1968,Brian G. Hutton,7.6,158 min,"Action, Adventure, War","Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark"
98,Das dreckige Dutzend,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",1967,Robert Aldrich,7.7,150 min,"Action, Adventure, War","Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavete"
99,Lethal Weapon  - Brennpunkt L.A.,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,1989,Richard Donner,7.2,114 min,"Action, Crime, Thriller","Mel Gibson, Danny Glover, Joe Pesci, Patsy Kensi"
